172.19.0.1 - - [16/Aug/2017:14:15:10 +0000] "GET / HTTP/1.1" 200 11250
172.19.0.1 - - [16/Aug/2017:14:15:12 +0000] "GET /manager/html HTTP/1.1" 401 2474
172.19.0.1 - admin [16/Aug/2017:14:15:38 +0000] "GET /manager/html HTTP/1.1" 200 12989
172.19.0.1 - admin [16/Aug/2017:14:31:55 +0000] "GET /manager/html HTTP/1.1" 200 14743
172.19.0.1 - - [16/Aug/2017:14:31:57 +0000] "GET /rest-0.1.0/ HTTP/1.1" 200 237
172.19.0.1 - - [16/Aug/2017:14:32:01 +0000] "GET /rest-0.1.0/swagger-resources/configuration/ui HTTP/1.1" 200 238
172.19.0.1 - - [16/Aug/2017:14:32:01 +0000] "GET /rest-0.1.0/swagger-resources HTTP/1.1" 200 80
172.19.0.1 - - [16/Aug/2017:14:32:01 +0000] "GET /rest-0.1.0/v2/api-docs HTTP/1.1" 200 5961
172.19.0.1 - - [16/Aug/2017:14:32:01 +0000] "GET /rest-0.1.0/swagger-resources/configuration/security HTTP/1.1" 200 81
172.19.0.1 - - [16/Aug/2017:20:18:34 +0000] "GET /rest-0.1.0/swagger-resources/configuration/ui HTTP/1.1" 200 238
172.19.0.1 - - [16/Aug/2017:20:18:34 +0000] "GET /rest-0.1.0/swagger-resources HTTP/1.1" 200 80
172.19.0.1 - - [16/Aug/2017:20:18:35 +0000] "GET /rest-0.1.0/v2/api-docs HTTP/1.1" 200 5961
172.19.0.1 - - [16/Aug/2017:20:18:35 +0000] "GET /rest-0.1.0/swagger-resources/configuration/security HTTP/1.1" 200 81
172.19.0.1 - - [16/Aug/2017:20:45:12 +0000] "GET /rest-0.1.0/swagger-resources/configuration/ui HTTP/1.1" 200 238
172.19.0.1 - - [16/Aug/2017:20:45:12 +0000] "GET /rest-0.1.0/swagger-resources HTTP/1.1" 200 80
172.19.0.1 - - [16/Aug/2017:20:45:12 +0000] "GET /rest-0.1.0/v2/api-docs HTTP/1.1" 200 5961
172.19.0.1 - - [16/Aug/2017:20:45:12 +0000] "GET /rest-0.1.0/swagger-resources/configuration/security HTTP/1.1" 200 81
