INFO            | Updating             item=599675559a1e3406aa0f5ed0 : 200
INFO            | Updating             item=599675559a1e3406aa0f5ed1 : 200
INFO            | Updating             item=599675559a1e3406aa0f5ed2 : 200
INFO            | Updating             item=599675559a1e3406aa0f5ed3 : 200
INFO            | Updating             item=599675559a1e3406aa0f5ed4 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ed5 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ed6 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ed7 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ed8 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ed9 : 200
INFO            | Updating             item=599675569a1e3406aa0f5eda : 200
INFO            | Updating             item=599675569a1e3406aa0f5edb : 200
INFO            | Updating             item=599675569a1e3406aa0f5edc : 200
INFO            | Updating             item=599675569a1e3406aa0f5edd : 200
INFO            | Updating             item=599675569a1e3406aa0f5ede : 200
INFO            | Updating             item=599675569a1e3406aa0f5edf : 200
INFO            | Updating             item=599675569a1e3406aa0f5ee0 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ee1 : 200
INFO            | No details for       item=599675569a1e3406aa0f5ee2
INFO            | Updating             item=599675569a1e3406aa0f5ee3 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ee4 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ee5 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ee6 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ee7 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ee8 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ee9 : 200
INFO            | Updating             item=599675569a1e3406aa0f5eea : 200
INFO            | Updating             item=599675569a1e3406aa0f5eeb : 200
INFO            | Updating             item=599675569a1e3406aa0f5eec : 200
INFO            | Updating             item=599675569a1e3406aa0f5eed : 200
INFO            | Updating             item=599675569a1e3406aa0f5eee : 200
INFO            | Updating             item=599675569a1e3406aa0f5eef : 200
INFO            | Updating             item=599675569a1e3406aa0f5ef0 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ef1 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ef2 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ef3 : 200
INFO            | Updating             item=599675569a1e3406aa0f5ef4 : 200
